image_path,label,copied_image_path
new_dataset/4_b8_conv0_affine_510.png,1.0,selected_images_task2/4_b8_conv0_affine_510
new_dataset/34_b8_conv0_affine_43.png,1.0,selected_images_task2/34_b8_conv0_affine_43
new_dataset/4_b8_conv0_affine_97.png,1.0,selected_images_task2/4_b8_conv0_affine_97
new_dataset/41_b8_conv0_affine_97.png,1.0,selected_images_task2/41_b8_conv0_affine_97
new_dataset/54_b8_conv0_affine_97.png,1.0,selected_images_task2/54_b8_conv0_affine_97
new_dataset/34_b8_conv0_affine_97.png,1.0,selected_images_task2/34_b8_conv0_affine_97
new_dataset/57_b8_conv0_affine_97.png,1.0,selected_images_task2/57_b8_conv0_affine_97
new_dataset/27_b8_conv0_affine_97.png,1.0,selected_images_task2/27_b8_conv0_affine_97
new_dataset/17_b8_conv0_affine_97.png,1.0,selected_images_task2/17_b8_conv0_affine_97
new_dataset/24_b16_conv0_affine_325.png,-1.0,selected_images_task2/24_b16_conv0_affine_325
new_dataset/47_b16_conv0_affine_325.png,1.0,selected_images_task2/47_b16_conv0_affine_325
new_dataset/13_b16_conv0_affine_325.png,1.0,selected_images_task2/13_b16_conv0_affine_325
new_dataset/41_b16_conv0_affine_325.png,1.0,selected_images_task2/41_b16_conv0_affine_325
new_dataset/35_b16_conv0_affine_325.png,1.0,selected_images_task2/35_b16_conv0_affine_325
new_dataset/15_b16_conv0_affine_325.png,1.0,selected_images_task2/15_b16_conv0_affine_325
new_dataset/4_b8_conv1_affine_228.png,1.0,selected_images_task2/4_b8_conv1_affine_228
new_dataset/52_b8_conv1_affine_228.png,1.0,selected_images_task2/52_b8_conv1_affine_228
new_dataset/36_b8_conv1_affine_228.png,1.0,selected_images_task2/36_b8_conv1_affine_228
new_dataset/12_b8_conv1_affine_228.png,1.0,selected_images_task2/12_b8_conv1_affine_228
new_dataset/41_b8_conv1_affine_228.png,-1.0,selected_images_task2/41_b8_conv1_affine_228
new_dataset/54_b8_conv1_affine_228.png,1.0,selected_images_task2/54_b8_conv1_affine_228
new_dataset/34_b8_conv1_affine_228.png,1.0,selected_images_task2/34_b8_conv1_affine_228
new_dataset/57_b8_conv1_affine_228.png,1.0,selected_images_task2/57_b8_conv1_affine_228
new_dataset/27_b8_conv1_affine_228.png,1.0,selected_images_task2/27_b8_conv1_affine_228
new_dataset/3_b8_conv1_affine_228.png,1.0,selected_images_task2/3_b8_conv1_affine_228
new_dataset/17_b8_conv1_affine_228.png,1.0,selected_images_task2/17_b8_conv1_affine_228
new_dataset/12_b16_conv0_affine_430.png,1.0,selected_images_task2/12_b16_conv0_affine_430
new_dataset/4_b8_conv0_affine_175.png,1.0,selected_images_task2/4_b8_conv0_affine_175
new_dataset/52_b8_conv0_affine_175.png,1.0,selected_images_task2/52_b8_conv0_affine_175
new_dataset/36_b8_conv0_affine_175.png,1.0,selected_images_task2/36_b8_conv0_affine_175
new_dataset/54_b8_conv0_affine_175.png,1.0,selected_images_task2/54_b8_conv0_affine_175
new_dataset/41_b8_conv1_affine_120.png,1.0,selected_images_task2/41_b8_conv1_affine_120
new_dataset/27_b8_conv1_affine_398.png,1.0,selected_images_task2/27_b8_conv1_affine_398
new_dataset/4_b8_conv0_affine_61.png,1.0,selected_images_task2/4_b8_conv0_affine_61
new_dataset/4_b8_conv0_affine_258.png,1.0,selected_images_task2/4_b8_conv0_affine_258
